t,x,y,theta
1201.813517,-3.9599,-2.0888,0.4329
1201.855430,-3.9599,-2.0888,0.4328
1201.889614,-3.9599,-2.0888,0.4329
1201.918634,-3.9599,-2.0888,0.4328
1201.952148,-3.9599,-2.0888,0.4328
1201.981450,-3.9599,-2.0888,0.4329
1202.023305,-3.9599,-2.0888,0.4327
1202.043978,-3.9599,-2.0888,0.4327
1202.086089,-3.9599,-2.0888,0.4330
1202.120025,-3.9599,-2.0888,0.4330
1202.148620,-3.9599,-2.0888,0.4331
1202.182516,-3.9599,-2.0888,0.4331
1202.211477,-3.9599,-2.0888,0.4331
1202.253373,-3.9599,-2.0888,0.4333
1202.286706,-3.9599,-2.0888,0.4331
1202.316278,-3.9599,-2.0888,0.4333
1202.349162,-3.9599,-2.0888,0.4334
1202.379500,-3.9599,-2.0888,0.4333
1202.421349,-3.9599,-2.0888,0.4335
1202.453324,-3.9599,-2.0888,0.4336
1202.484039,-3.9599,-2.0888,0.4336
1202.515859,-3.9599,-2.0888,0.4336
1202.546658,-3.9599,-2.0888,0.4334
1202.588620,-3.9599,-2.0888,0.4335
1202.620053,-3.9599,-2.0888,0.4335
1202.651225,-3.9599,-2.0888,0.4334
1202.682622,-3.9599,-2.0888,0.4337
1202.714014,-3.9599,-2.0888,0.4336
1202.755854,-3.9599,-2.0888,0.4335
1202.787073,-3.9599,-2.0888,0.4335
1202.818885,-3.9599,-2.0888,0.4336
1202.849858,-3.9599,-2.0888,0.4339
1202.882987,-3.9599,-2.0888,0.4339
1202.913158,-3.9599,-2.0888,0.4338
1202.954599,-3.9599,-2.0888,0.4340
1202.987649,-3.9599,-2.0888,0.4339
1203.017589,-3.9599,-2.0888,0.4340
1203.050312,-3.9599,-2.0888,0.4339
1203.079954,-3.9599,-2.0888,0.4339
1203.121502,-3.9599,-2.0888,0.4342
1203.154930,-3.9599,-2.0888,0.4339
1203.183859,-3.9599,-2.0888,0.4339
1203.217747,-3.9599,-2.0888,0.4342
1203.246215,-3.9599,-2.0888,0.4344
1203.287625,-3.9599,-2.0888,0.4345
1203.322440,-3.9599,-2.0888,0.4340
1203.349839,-3.9599,-2.0888,0.4340
1203.385860,-3.9599,-2.0888,0.4342
1203.412464,-3.9599,-2.0888,0.4342
1203.454121,-3.9599,-2.0888,0.4344
1203.474922,-3.9599,-2.0888,0.4344
1203.516368,-3.9599,-2.0888,0.4344
1203.553154,-3.9599,-2.0888,0.4344
1203.578528,-3.9599,-2.0888,0.4343
1203.619814,-3.9599,-2.0888,0.4345
1203.640610,-3.9599,-2.0888,0.4345
1203.682023,-3.9599,-2.0888,0.4346
1203.723208,-3.9599,-2.0888,0.4347
1203.743958,-3.9599,-2.0888,0.4348
1203.785445,-3.9599,-2.0888,0.4349
1203.806119,-3.9599,-2.0888,0.4348
1203.848215,-3.9599,-2.0888,0.4346
1203.889311,-3.9599,-2.0888,0.4347
1203.910748,-3.9599,-2.0888,0.4348
1203.952678,-3.9599,-2.0888,0.4349
1203.973493,-3.9599,-2.0888,0.4350
1204.015578,-3.9599,-2.0888,0.4348
1204.055318,-3.9599,-2.0888,0.4350
1204.078357,-3.9599,-2.0888,0.4351
1204.120279,-3.9599,-2.0888,0.4352
1204.141650,-3.9599,-2.0888,0.4352
1204.183402,-3.9599,-2.0888,0.4352
1204.222366,-3.9599,-2.0888,0.4352
1204.248124,-3.9599,-2.0888,0.4351
1204.290205,-3.9599,-2.0888,0.4350
1204.310970,-3.9599,-2.0888,0.4350
1204.353883,-3.9599,-2.0888,0.4348
1204.374671,-3.9599,-2.0888,0.4349
1204.416691,-3.9599,-2.0888,0.4351
1204.454231,-3.9599,-2.0888,0.4352
1204.479775,-3.9599,-2.0888,0.4351
1204.521730,-3.9599,-2.0888,0.4351
1204.542886,-3.9599,-2.0888,0.4353
1204.584996,-3.9599,-2.0888,0.4354
1204.622328,-3.9599,-2.0888,0.4354
1204.647719,-3.9599,-2.0888,0.4354
1204.689622,-3.9599,-2.0888,0.4351
1204.711041,-3.9599,-2.0888,0.4351
1204.753026,-3.9599,-2.0888,0.4356
1204.773646,-3.9599,-2.0888,0.4356
1204.815541,-3.9599,-2.0888,0.4358
1204.855439,-3.9599,-2.0888,0.4356
1204.878226,-3.9599,-2.0888,0.4356
1204.920294,-3.9599,-2.0888,0.4357
